Commune,Date de fin d'autorisation,Date début validité,Date fin validité,Exploitation en eau,Exploitée par,Identifiant,Latitude,Longitude,Nom,Numéro S3IC,Produits,Site en activité,Substances,Type,Volume total (kt),Volume total (m³)
JEGUN,2050,2020-12-02T00:00:00,2050-12-02T00:00:00,Oui,RESCANIERES,70056,43.771743,0.479337,"Nechieu, Coume d'Envives",0006802907,Concassé de roche calcaire,Oui,Calcaire,AP de d'extension/renouvellement,,
CARENNAC,2048,2018-06-13T00:00:00,2048-06-13T00:00:00,Oui,MTE,70101,44.908474,1.719888,Le Bégoux,0006800765,Concassé de roche calcaire,Oui,Calcaire,AP de d'extension/renouvellement,,
CHAZE-HENRY,2039,2014-07-07T00:00:00,,Oui,LAFARGE GRANULATS FRANCE,70102,47.752207,-1.097948,Le Tertre,0006300207,Concassé de roche siliceuse,Oui,Grès ss,AP de changement d'exploitant,,
ESCLAUZELS,2039,2009-04-23T00:00:00,2039-04-23T00:00:00,Oui,CARRIERES DU SUD OUEST,70118,44.412312,1.613446,"Roc du Buis, Les Friches, Clos Longs",0006800997,Concassé de roche calcaire,Oui,Calcaire,AP de d'extension/renouvellement,,
HADOL,2028,2013-04-02T00:00:00,2028-04-02T00:00:00,Oui,SOCIETE ROUTIERE ET DE DRAGAGES DE L'EST (SRDE),70077,48.053762,6.433519,Frais Baril,0006204085,Concassé de roche plutonique,Oui,Granites et granitoides,AP de d'extension/renouvellement,,
MONTAUBAN,2051,2023-09-22T00:00:00,2051-11-30T00:00:00,Oui,SEMATEC,71267,43.981974,1.346342,"Tour de Belot, Saulou Malpa",0006801940,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP de d'extension/renouvellement,,
PLOUEC-DU-TRIEUX,2024,2022-06-30T00:00:00,2024-06-30T00:00:00,Oui,CONSEIL GENERAL DES COTES DU NORD,70152,48.687838,-3.167729,Châteaulin,0005502339,Concassé de roche plutonique,Oui,Diorite,AP de renouvellement,,
NOYANT-ET-ACONIN,2052,2022-07-04T00:00:00,2052-07-04T00:00:00,Non,CARRIERES DE NOYANT,70082,49.342995,3.33973,"L'arbre de Bourges, La Cannene",0005102864,Calcaire-ouvrages de taille,Oui,Calcaire,AP de d'extension/renouvellement,,
SALLES-SUR-GARONNE,2024,2015-09-14T00:00:00,2024-03-28T00:00:00,Non,CEMEX FRANCE,70115,43.286609,1.1747,"Lafivat, La Fibat",0006800581,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP d'extension,,
CARENNAC,2045,2015-07-16T00:00:00,2045-07-16T00:00:00,Oui,FLAMARY (GEDIMAT),70092,44.884971,1.711395,Gabacherie Sud,0006803127,Concassé de roche calcaire,Oui,Calcaire,AP de d'extension/renouvellement,4200,
JUVARDEIL,2045,2020-08-05T00:00:00,2045-08-05T00:00:00,Oui,G.S.M.,70129,47.643163,-0.483454,"La Ganerie, Les Petites Landes, Les Journeaux, Beaulieu",0006301595,Granulat alluvionnaire,Oui,Roches alluvionnaires,AP de d'extension/renouvellement,,
CHALONNES-SUR-LOIRE,2047,2017-06-22T00:00:00,2047-06-22T00:00:00,Oui,COURANT FRERES,70112,47.32845971288409,-0.7938408639585126,La Grande Chauvière,0006301331,Concassé de roche métamorphique,Oui,Schiste,AP de d'extension/renouvellement,18000,9500000
CARBONNE,2025,2023-05-30T00:00:00,2025-03-22T00:00:00,Non,GRANULATS VICAT,70170,43.3228063094295,1.2067127009654792,"Thouet Nord, Le Bernès, Fauche, Bourjaguet",0006800277,Granulat alluvionnaire,Oui,"Sable, graviers, galet",AP de renouvellement,,
LES ALLEUDS,2026,2023-12-05T00:00:00,2026-05-06T00:00:00,Oui,GSM,70169,47.30833267161659,-0.43706900514870384,Les Grandes Biousses,0006303244,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP de renouvellement,,
VERNET,2025,2015-02-16T00:00:00,2025-02-16T00:00:00,Non,MIDI PYRENEES GRANULATS,70195,43.41724,1.41995,"Sacy, Les Pradasses, Champagne, Bordeneuve",0006805033,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP de d'extension/renouvellement,,
ROCAMADOUR,2045,2018-09-10T00:00:00,,Oui,BETONS GRANULATS OCCITANS (BGO),70215,44.810496,1.59577,"Mal Pas, Combe de la Font, Vignes Vieilles",0006801041,Concassé de roche calcaire,Oui,Calcaire,AP de changement d'exploitant,,
CLERE-SUR-LAYON,2029,2011-10-06T00:00:00,2029-11-23T00:00:00,Oui,SOC CARRIERES DE CLERE & DE TP,70161,47.092422,-0.433471,La Paguerie-la-Brardière,0006300376,Concassé de roche plutonique,Oui,"Diorite, Roches plutoniques",AP de d'extension/renouvellement,,
CONFLANS-SUR-ANILLE,2038,2015-12-04T00:00:00,,Non,SOCIETE BRULE EXPLOITATION DE CARRIERE,70248,47.93997244156859,0.755947237652532,Montfreslon,0006300570,"Amendement, Granulat alluvionnaire",Oui,"Sables et graviers alluvionnaires, Calcaire",AP de changement d'exploitant,,
LES RAIRIES,2040,2020-09-04T00:00:00,2040-09-04T00:00:00,Oui,JUGE CAMILLE,70185,47.655662,-0.229922,Maupas,0006300363,Granulat alluvionnaire,Oui,Sables et graviers alluvionnaires,AP de d'extension/renouvellement,1080,540000
GRISOLLES,2040,2015-10-20T00:00:00,2040-10-20T00:00:00,Oui,SIBELCO FRANCE,70136,49.15278,3.359509,"carrière d'Houssoy, La Plaine du Château",0005104969,Verre,Oui,Sables siliceux,AP de d'extension/renouvellement,13440,
INGRANDES-LE FRESNE SUR LOIRE,2037,2013-02-14T00:00:00,,Oui,HERVE,70060,47.420151,-0.93727,La Bouvraie,0006300277,Concassé de roche volcanique,Oui,,AP de changement d'exploitant,,
NYOISEAU,2040,2015-07-30T00:00:00,,Oui,PIGEON GRANULATS LOIRE ANJOU,70200,47.709665,-0.888845,Le Bois Savary,0006300337,Granulat alluvionnaire,Oui,"Sable, graviers, galet",AP de changement d'exploitant,,
LA LANDEC,2037,2007-03-23T00:00:00,2037-03-23T00:00:00,Oui,GICQUEL PERE ET FILS,70114,48.410689,-2.196262,Le Tertre Isaac,0005502195,"Concassé de roche plutonique, Granit (PO)",Oui,Granites et granitoides,AP de d'extension/renouvellement,,
POULDERGAT,2038,2008-03-31T00:00:00,2038-03-31T00:00:00,Oui,LE ROUX,71502,48.023655,-4.323386,Pont Rodou,0005503390,Concassé de roche métamorphique,Oui,Mylonite,AP de d'extension/renouvellement,2100,950000
PLEUMEUR-BODOU,2033,2013-07-18T00:00:00,2033-07-18T00:00:00,Non,REBILLON CARRIERE,70155,48.803083522020636,-3.512688082381411,Kerianegan Vian,0005502321,"Concassé de roche plutonique, Granit (PO)",Oui,Granites et granitoides,AP de renouvellement,,
